NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract
"Census Tract 218.13, DeKalb County, Georgia",1259.0,26.0,0.0,26.0,4.0,107.0,340.0,701.0,55.0,13,089,021813
"Census Tract 218.14, DeKalb County, Georgia",2439.0,389.0,315.0,31.0,240.0,495.0,557.0,263.0,98.0,13,089,021814
"Census Tract 219.11, DeKalb County, Georgia",1075.0,62.0,72.0,17.0,84.0,427.0,353.0,0.0,60.0,13,089,021911
"Census Tract 215.03, DeKalb County, Georgia",1758.0,521.0,245.0,0.0,84.0,443.0,294.0,151.0,20.0,13,089,021503
"Census Tract 215.04, DeKalb County, Georgia",2833.0,616.0,187.0,14.0,146.0,288.0,440.0,598.0,544.0,13,089,021504
"Census Tract 233.15, DeKalb County, Georgia",2036.0,2025.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,13,089,023315
"Census Tract 233.16, DeKalb County, Georgia",3203.0,2626.0,204.0,0.0,31.0,105.0,200.0,0.0,37.0,13,089,023316
"Census Tract 234.19, DeKalb County, Georgia",3610.0,3527.0,0.0,0.0,0.0,0.0,0.0,62.0,12.0,13,089,023419
"Census Tract 234.21, DeKalb County, Georgia",3845.0,1124.0,1171.0,11.0,297.0,449.0,745.0,0.0,31.0,13,089,023421
"Census Tract 234.23, DeKalb County, Georgia",3685.0,2653.0,142.0,0.0,0.0,134.0,172.0,382.0,71.0,13,089,023423
"Census Tract 234.25, DeKalb County, Georgia",2399.0,1698.0,450.0,0.0,0.0,53.0,39.0,141.0,18.0,13,089,023425
"Census Tract 234.26, DeKalb County, Georgia",1742.0,1734.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13,089,023426
"Census Tract 234.27, DeKalb County, Georgia",1039.0,1015.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13,089,023427
"Census Tract 234.28, DeKalb County, Georgia",4327.0,1118.0,924.0,107.0,391.0,616.0,756.0,288.0,87.0,13,089,023428
"Census Tract 9800, DeKalb County, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,089,980000
"Census Tract 234.22, DeKalb County, Georgia",2076.0,1836.0,183.0,0.0,10.0,0.0,0.0,0.0,25.0,13,089,023422
"Census Tract 234.24, DeKalb County, Georgia",1890.0,1885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,089,023424
"Census Tract 212.14, DeKalb County, Georgia",2190.0,2133.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,13,089,021214
"Census Tract 212.09, DeKalb County, Georgia",3770.0,1209.0,567.0,42.0,16.0,327.0,370.0,317.0,922.0,13,089,021209
"Census Tract 234.18, DeKalb County, Georgia",7399.0,4505.0,267.0,0.0,0.0,318.0,985.0,1166.0,124.0,13,089,023418
"Census Tract 233.03, DeKalb County, Georgia",2949.0,1730.0,324.0,59.0,53.0,210.0,144.0,113.0,73.0,13,089,023303
"Census Tract 215.02, DeKalb County, Georgia",2600.0,1075.0,53.0,13.0,96.0,129.0,292.0,465.0,477.0,13,089,021502
"Census Tract 225, DeKalb County, Georgia",2859.0,1382.0,264.0,28.0,283.0,225.0,90.0,96.0,491.0,13,089,022500
"Census Tract 216.03, DeKalb County, Georgia",2789.0,861.0,206.0,20.0,112.0,260.0,365.0,431.0,534.0,13,089,021603
"Census Tract 218.06, DeKalb County, Georgia",2665.0,1340.0,441.0,37.0,89.0,266.0,309.0,79.0,87.0,13,089,021806
"Census Tract 223.02, DeKalb County, Georgia",2052.0,1313.0,35.0,30.0,112.0,193.0,273.0,54.0,42.0,13,089,022302
"Census Tract 224.02, DeKalb County, Georgia",1256.0,155.0,0.0,33.0,42.0,35.0,96.0,177.0,718.0,13,089,022402
"Census Tract 228, DeKalb County, Georgia",1353.0,1034.0,48.0,21.0,78.0,17.0,68.0,0.0,79.0,13,089,022800
"Census Tract 232.09, DeKalb County, Georgia",1959.0,1938.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,13,089,023209
"Census Tract 232.11, DeKalb County, Georgia",1412.0,954.0,11.0,12.0,29.0,154.0,204.0,48.0,0.0,13,089,023211
"Census Tract 233.09, DeKalb County, Georgia",4082.0,2761.0,805.0,0.0,36.0,176.0,270.0,0.0,34.0,13,089,023309
"Census Tract 233.10, DeKalb County, Georgia",4413.0,1143.0,208.0,29.0,200.0,1118.0,1063.0,438.0,188.0,13,089,023310
"Census Tract 234.14, DeKalb County, Georgia",2554.0,2314.0,18.0,0.0,21.0,100.0,81.0,20.0,0.0,13,089,023414
"Census Tract 236.01, DeKalb County, Georgia",1237.0,1044.0,120.0,34.0,0.0,11.0,0.0,0.0,8.0,13,089,023601
"Census Tract 218.09, DeKalb County, Georgia",2889.0,2705.0,18.0,0.0,0.0,76.0,0.0,0.0,79.0,13,089,021809
"Census Tract 219.06, DeKalb County, Georgia",2067.0,1491.0,209.0,55.0,65.0,143.0,93.0,0.0,11.0,13,089,021906
